,Week,Applications
485,1985-04-22/1985-04-28,1515
486,1985-04-29/1985-05-05,1516
487,1985-05-06/1985-05-12,1521
488,1985-05-13/1985-05-19,1515
489,1985-05-20/1985-05-26,1518
490,1985-05-27/1985-06-02,1519
491,1985-06-03/1985-06-09,1518
492,1985-06-10/1985-06-16,1516
493,1985-06-17/1985-06-23,1233
494,1985-06-24/1985-06-30,1519
495,1985-07-01/1985-07-07,1523
496,1985-07-08/1985-07-14,1526
497,1985-07-15/1985-07-21,1527
498,1985-07-22/1985-07-28,1240
499,1985-07-29/1985-08-04,1530
500,1985-08-05/1985-08-11,1526
501,1985-08-12/1985-08-18,1524
502,1985-08-19/1985-08-25,1524
503,1985-08-26/1985-09-01,1525
504,1985-09-02/1985-09-08,1523
505,1985-09-09/1985-09-15,1525
506,1985-09-16/1985-09-22,1523
507,1985-09-23/1985-09-29,1242
508,1985-09-30/1985-10-06,1506
509,1985-10-07/1985-10-13,1503
510,1985-10-14/1985-10-20,1504
511,1985-10-21/1985-10-27,1504
512,1985-10-28/1985-11-03,1220
513,1985-11-04/1985-11-10,1509
514,1985-11-11/1985-11-17,1501
515,1985-11-18/1985-11-24,1501
516,1985-11-25/1985-12-01,1216
517,1985-12-02/1985-12-08,1294
518,1985-12-09/1985-12-15,1579
519,1985-12-16/1985-12-22,1289
520,1985-12-23/1985-12-29,1582
521,1985-12-30/1986-01-05,1580
522,1986-01-06/1986-01-12,1292
523,1986-01-13/1986-01-19,1286
524,1986-01-20/1986-01-26,1290
525,1986-01-27/1986-02-02,1583
526,1986-02-03/1986-02-09,1591
527,1986-02-10/1986-02-16,1282
528,1986-02-17/1986-02-23,1580
529,1986-02-24/1986-03-02,1580
530,1986-03-03/1986-03-09,1297
531,1986-03-10/1986-03-16,1575
532,1986-03-17/1986-03-23,1578
533,1986-03-24/1986-03-30,1580
534,1986-03-31/1986-04-06,1597
535,1986-04-07/1986-04-13,1576
536,1986-04-14/1986-04-20,1583
537,1986-04-21/1986-04-27,1584
538,1986-04-28/1986-05-04,1584
539,1986-05-05/1986-05-11,1598
540,1986-05-12/1986-05-18,1586
541,1986-05-19/1986-05-25,1578
542,1986-05-26/1986-06-01,1577
543,1986-06-02/1986-06-08,1430
544,1986-06-09/1986-06-15,1422
545,1986-06-16/1986-06-22,1425
546,1986-06-23/1986-06-29,1156
547,1986-06-30/1986-07-06,1442
548,1986-07-07/1986-07-13,1423
549,1986-07-14/1986-07-20,1427
550,1986-07-21/1986-07-27,1427
551,1986-07-28/1986-08-03,1153
552,1986-08-04/1986-08-10,1462
553,1986-08-11/1986-08-17,1448
554,1986-08-18/1986-08-24,1444
555,1986-08-25/1986-08-31,1450
556,1986-09-01/1986-09-07,1461
557,1986-09-08/1986-09-14,1445
558,1986-09-15/1986-09-21,1440
559,1986-09-22/1986-09-28,1442
560,1986-09-29/1986-10-05,1178
561,1986-10-06/1986-10-12,1457
562,1986-10-13/1986-10-19,1441
563,1986-10-20/1986-10-26,1445
564,1986-10-27/1986-11-02,1443
565,1986-11-03/1986-11-09,1204
566,1986-11-10/1986-11-16,1447
567,1986-11-17/1986-11-23,1452
568,1986-11-24/1986-11-30,1449
569,1986-12-01/1986-12-07,1919
570,1986-12-08/1986-12-14,1564
571,1986-12-15/1986-12-21,1909
572,1986-12-22/1986-12-28,1564
573,1986-12-29/1987-01-04,1904
574,1987-01-05/1987-01-11,1920
575,1987-01-12/1987-01-18,1905
576,1987-01-19/1987-01-25,1563
577,1987-01-26/1987-02-01,1569
578,1987-02-02/1987-02-08,1582
579,1987-02-09/1987-02-15,1564
580,1987-02-16/1987-02-22,1909
581,1987-02-23/1987-03-01,1901
582,1987-03-02/1987-03-08,1914
583,1987-03-09/1987-03-15,1565
584,1987-03-16/1987-03-22,1904
585,1987-03-23/1987-03-29,1903
586,1987-03-30/1987-04-05,1910
587,1987-04-06/1987-04-12,1929
588,1987-04-13/1987-04-19,1910
589,1987-04-20/1987-04-26,1914
590,1987-04-27/1987-05-03,1916
591,1987-05-04/1987-05-10,1915
592,1987-05-11/1987-05-17,1920
593,1987-05-18/1987-05-24,1912
594,1987-05-25/1987-05-31,1906
595,1987-06-01/1987-06-07,1916
596,1987-06-08/1987-06-14,1902
597,1987-06-15/1987-06-21,1562
598,1987-06-22/1987-06-28,1904
599,1987-06-29/1987-07-05,1907
600,1987-07-06/1987-07-12,1706
601,1987-07-13/1987-07-19,1679
602,1987-07-20/1987-07-26,1681
603,1987-07-27/1987-08-02,1344
604,1987-08-03/1987-08-09,1688
605,1987-08-10/1987-08-16,1682
606,1987-08-17/1987-08-23,1682
607,1987-08-24/1987-08-30,1685
608,1987-08-31/1987-09-06,1705
609,1987-09-07/1987-09-13,1666
610,1987-09-14/1987-09-20,1670
611,1987-09-21/1987-09-27,1665
612,1987-09-28/1987-10-04,1332
613,1987-10-05/1987-10-11,1688
614,1987-10-12/1987-10-18,1663
615,1987-10-19/1987-10-25,1667
616,1987-10-26/1987-11-01,1668
617,1987-11-02/1987-11-08,1335
618,1987-11-09/1987-11-15,1649
619,1987-11-16/1987-11-22,1658
620,1987-11-23/1987-11-29,1662
621,1987-11-30/1987-12-06,1687
622,1987-12-07/1987-12-13,1398
623,1987-12-14/1987-12-20,1715
624,1987-12-21/1987-12-27,1343
625,1987-12-28/1988-01-03,1651
626,1988-01-04/1988-01-10,1675
627,1988-01-11/1988-01-17,1646
628,1988-01-18/1988-01-24,1343
629,1988-01-25/1988-01-31,1344
630,1988-02-01/1988-02-07,1371
631,1988-02-08/1988-02-14,1351
632,1988-02-15/1988-02-21,1656
633,1988-02-22/1988-02-28,1655
634,1988-02-29/1988-03-06,1664
635,1988-03-07/1988-03-13,1345
636,1988-03-14/1988-03-20,1653
637,1988-03-21/1988-03-27,1648
638,1988-03-28/1988-04-03,1652
639,1988-04-04/1988-04-10,1659
640,1988-04-11/1988-04-17,1656
641,1988-04-18/1988-04-24,1652
642,1988-04-25/1988-05-01,1655
643,1988-05-02/1988-05-08,1661
644,1988-05-09/1988-05-15,1646
645,1988-05-16/1988-05-22,1653
646,1988-05-23/1988-05-29,1652
647,1988-05-30/1988-06-05,1657
648,1988-06-06/1988-06-12,1665
649,1988-06-13/1988-06-19,1652
650,1988-06-20/1988-06-26,1351
651,1988-06-27/1988-07-03,1640
652,1988-07-04/1988-07-10,1666
653,1988-07-11/1988-07-17,1654
654,1988-07-18/1988-07-24,1650
655,1988-07-25/1988-07-31,1652
656,1988-08-01/1988-08-07,1364
657,1988-08-08/1988-08-14,1646
658,1988-08-15/1988-08-21,1733
659,1988-08-22/1988-08-28,1732
660,1988-08-29/1988-09-04,1729
661,1988-09-05/1988-09-11,1749
662,1988-09-12/1988-09-18,1738
663,1988-09-19/1988-09-25,1733
664,1988-09-26/1988-10-02,1734
665,1988-10-03/1988-10-09,1440
666,1988-10-10/1988-10-16,1735
667,1988-10-17/1988-10-23,1732
668,1988-10-24/1988-10-30,1737
669,1988-10-31/1988-11-06,1748
670,1988-11-07/1988-11-13,1433
671,1988-11-14/1988-11-20,1738
672,1988-11-21/1988-11-27,1742
673,1988-11-28/1988-12-04,1739
674,1988-12-05/1988-12-11,1443
675,1988-12-12/1988-12-18,1769
676,1988-12-19/1988-12-25,1439
677,1988-12-26/1989-01-01,1772
678,1989-01-02/1989-01-08,1780
679,1989-01-09/1989-01-15,1771
680,1989-01-16/1989-01-22,1440
681,1989-01-23/1989-01-29,1443
682,1989-01-30/1989-02-05,1770
683,1989-02-06/1989-02-12,1641
684,1989-02-13/1989-02-19,1613
685,1989-02-20/1989-02-26,2185
686,1989-02-27/1989-03-05,2182
687,1989-03-06/1989-03-12,2202
688,1989-03-13/1989-03-19,1772
689,1989-03-20/1989-03-26,2182
690,1989-03-27/1989-04-02,2181
691,1989-04-03/1989-04-09,2201
692,1989-04-10/1989-04-16,2178
693,1989-04-17/1989-04-23,2177
694,1989-04-24/1989-04-30,2184
695,1989-05-01/1989-05-07,2183
696,1989-05-08/1989-05-14,2182
697,1989-05-15/1989-05-21,2176
698,1989-05-22/1989-05-28,2174
699,1989-05-29/1989-06-04,2182
700,1989-06-05/1989-06-11,2240
701,1989-06-12/1989-06-18,2226
702,1989-06-19/1989-06-25,1812
703,1989-06-26/1989-07-02,2226
704,1989-07-03/1989-07-09,2305
705,1989-07-10/1989-07-16,2295
706,1989-07-17/1989-07-23,2296
707,1989-07-24/1989-07-30,2294
708,1989-07-31/1989-08-06,1960
709,1989-08-07/1989-08-13,2292
710,1989-08-14/1989-08-20,2287
711,1989-08-21/1989-08-27,2291
712,1989-08-28/1989-09-03,2291
713,1989-09-04/1989-09-10,2301
714,1989-09-11/1989-09-17,2290
715,1989-09-18/1989-09-24,2291
716,1989-09-25/1989-10-01,1927
717,1989-10-02/1989-10-08,1668
718,1989-10-09/1989-10-15,1649
719,1989-10-16/1989-10-22,1649
720,1989-10-23/1989-10-29,1646
721,1989-10-30/1989-11-05,1644
722,1989-11-06/1989-11-12,1660
723,1989-11-13/1989-11-19,1644
724,1989-11-20/1989-11-26,1645
725,1989-11-27/1989-12-03,1615
726,1989-12-04/1989-12-10,1623
727,1989-12-11/1989-12-17,1615
728,1989-12-18/1989-12-24,1619
729,1989-12-25/1989-12-31,1619
730,1990-01-01/1990-01-07,1626
731,1990-01-08/1990-01-14,1622
732,1990-01-15/1990-01-21,1624
733,1990-01-22/1990-01-28,1645
734,1990-01-29/1990-02-04,1643
735,1990-02-05/1990-02-11,1669
736,1990-02-12/1990-02-18,2125
