Time,Applications
2022-11,36368
2022-12,25878
2023-01,33619
2023-02,27629
2023-03,23524
2023-04,23505
2023-05,30620
2023-06,27092
2023-07,24342
2023-08,35970
2023-09,29219
2023-10,38048
2023-11,29296
2023-12,27230
